Nome,CodiceNAV
CASSERI FONDAZIONE UNICA 101/220 (150.130.110-H220),101/220
CASSERI FONDAZIONE UNICA 101/230 (150.130.110-H230),101/230
Casseri fondazione unica l. gradini 170-150-110,970347
Casseri in lamiera ø 180 cm,970421
Casseri in lamiera ø 220 cm,970422
CASSETTA COLLEGAM. MESSA A TERRA O.EKE-1L,971396
CASSETTA DI PRONTO SOCCORSO GRANDE Uffici ,992101
CASSETTA DI PRONTO SOCCORSO PICCOLA Mezzi,992100
Cassetta portachiavi 150 ganci cod. A158754,S70013228
CASSONE FISSO ALLUMINIO,979034
CATENA PVC BIANCA/ROSSA,881374
catena segnaletia pvc gialla e nera 25 m larghezza 6  mm,970480
CATENA SOLLEVAM. Ø 10 mm da 42.5 q,970277
CATENA SOLLEVAM. Ø 16 mm da 112 q,970276
CATENA SOLLEVAM. Ø 8  mm 35.5 q,970278
CATENA SOLLEVAM. Ø 8 mm da 28 q,970319
CAVALLETTI ALZABOBINA 100 kN CON COPPIA DI RAGNI. ASTA E CHIAVI,979000
CAVALLETTI ALZABOBINA 70 kN CON COPPIA DI RAGNI. ASTA E CHIAVI,995798
CAVALLETTO A CULLA PER BOBINE,970233
CAVALLETTO PER SEGNALE STRADALE 120 cm,991970
CAVALLETTO X CARTELLO STRADALE 150x200,991973
CAVIDOTTO DOPPIA PARETE DIAMETRO 160 CR10160G4,S70014762
CAVO A2XS (FL) 2Y 1X400 RM/105 - 87/150kV,971391
CAVO ACCIAIO ANCHOR CABLE 100 CM,970140
Cavo Armato TOL6D 48 4 (1\2 Sm G.652D) T/MVH9M,971452
CAVO AT XLPE 1X630 - 220kV,971364
CAVO ECC GN1X240DB mm²,971371
CAVO FG16OR16 2X10 mm²,980154
CAVO FG16OR16 2X4 mm²,980158
cavo fs 17 450/750V 1 x 50 g/V 1021/6018,971404
CAVO FS17 1X35  mm² G/V,980257
CAVO GO mmA 3G 2.5 mm² NERO,971047
CAVO MAT EC: g1X95DB mm²,971372
CAVO TOL6D 48 4 (12 SM G.652D) T/MVM,971244
CAZZUOLA DA MURATORE,990970
CEMENTO SACCO 25 kg,971321
CENTRALINA PRESSA completa di tubi 6 m,993168
Cesta da cantiere contenitore arancione rollway,970424
CESTINO/BIDONE PORTA RIFIUTI,999354
CHIAVE 1000V DINAMOMETRICA -1/2-20N m,S90000248
CHIAVE A BRUGOLA 10 mm,992524
CHIAVE A CRICCHETTO 1/2",977177
CHIAVE A CRICCHETTO DA 3/4,970114
CHIAVE A CRICCHETTO REVERSIBILE 1/2" 48DENTI,993527
CHIAVE A RULLINO 250 mm,992545
CHIAVE A RULLINO 375 mm,992544
CHIAVE APERTURA CHIUSINI INNEST.MEZZALUNA(SINGOLA),990802
